year,upwell_spr
2023,0.06866666666666667
2024,0.2843333333333333
2025,0.227
2026,0.3128888888888889
2027,0.22411111111111112
2028,0.04055555555555554
2029,0.10133333333333332
2030,0.04544444444444444
2031,0.2931111111111111
2032,0.11944444444444444
2033,0.2074444444444445
2034,0.18466666666666667
2035,0.06822222222222221
2036,-0.01722222222222222
2037,0.15788888888888888
2038,0.06644444444444444
2039,0.29788888888888887
2040,0.226
2041,0.32833333333333337
2042,-0.028
2043,0.16499999999999998
2044,0.203
2045,0.03777777777777778
2046,0.04533333333333335
2047,0.18333333333333332
2048,0.20955555555555555
2049,0.20677777777777775
2050,0.199
2051,0.08122222222222222
2052,0.3512222222222222
2053,0.261
2054,0.36566666666666664
2055,0.35233333333333333
2056,0.10477777777777778
2057,0.154
2058,0.3486666666666667
2059,0.08055555555555556
2060,0.42766666666666664
2061,0.33766666666666667
2062,0.06644444444444444
2063,0.2038888888888889
2064,0.24744444444444447
2065,0.07255555555555557
2066,0.2972222222222222
2067,0.2952222222222222
2068,0.311
2069,0.2041111111111111
2070,0.4355555555555556
2071,0.20677777777777775
2072,0.23888888888888887
2073,0.3731111111111111
2074,0.14233333333333334
2075,-0.018
2076,0.23366666666666663
2077,0.08533333333333333
2078,0.23322222222222225
2079,0.19
2080,0.28288888888888886
